Higher Taxon,December 2012,Family,Subfamily
Sauria,Trapelus ruderatus,Agamidae,Agaminae
Sauria,Trapelus sanguinolentus,Agamidae,Agaminae
Sauria,Trapelus savignii,Agamidae,Agaminae
Sauria,Trapelus schmitzi,Agamidae,Agaminae
Sauria,Trapelus tournevillei,Agamidae,Agaminae
Sauria,Xenagama batillifera,Agamidae,Agaminae
Sauria,Xenagama taylori,Agamidae,Agaminae
Sauria,Amphibolurus muricatus,Agamidae,Amphibolurinae
Sauria,Amphibolurus norrisi,Agamidae,Amphibolurinae
Sauria,Chelosania brunnea,Agamidae,Amphibolurinae
Sauria,Chlamydosaurus kingii,Agamidae,Amphibolurinae
Sauria,Cryptagama aurita,Agamidae,Amphibolurinae
Sauria,Ctenophorus adelaidensis,Agamidae,Amphibolurinae
Sauria,Ctenophorus caudicinctus,Agamidae,Amphibolurinae
Sauria,Ctenophorus clayi,Agamidae,Amphibolurinae
Sauria,Ctenophorus cristatus,Agamidae,Amphibolurinae
Sauria,Ctenophorus decresii,Agamidae,Amphibolurinae
Sauria,Ctenophorus femoralis,Agamidae,Amphibolurinae
Sauria,Ctenophorus fionni,Agamidae,Amphibolurinae
Sauria,Ctenophorus fordi,Agamidae,Amphibolurinae
Sauria,Ctenophorus gibba,Agamidae,Amphibolurinae
Sauria,Ctenophorus isolepis,Agamidae,Amphibolurinae
Sauria,Ctenophorus maculatus,Agamidae,Amphibolurinae
Sauria,Ctenophorus maculosus,Agamidae,Amphibolurinae
Sauria,Ctenophorus mckenziei,Agamidae,Amphibolurinae
Sauria,Ctenophorus nguyarna,Agamidae,Amphibolurinae
Sauria,Ctenophorus nuchalis,Agamidae,Amphibolurinae
Sauria,Ctenophorus ornatus,Agamidae,Amphibolurinae
Sauria,Ctenophorus pictus,Agamidae,Amphibolurinae
Sauria,Ctenophorus reticulatus,Agamidae,Amphibolurinae
Sauria,Ctenophorus rufescens,Agamidae,Amphibolurinae
Sauria,Ctenophorus salinarum,Agamidae,Amphibolurinae
Sauria,Ctenophorus scutulatus,Agamidae,Amphibolurinae
Sauria,Ctenophorus tjantjalka,Agamidae,Amphibolurinae
Sauria,Ctenophorus vadnappa,Agamidae,Amphibolurinae
Sauria,Ctenophorus yinnietharra,Agamidae,Amphibolurinae
Sauria,Diporiphora adductus,Agamidae,Amphibolurinae
Sauria,Diporiphora albilabris,Agamidae,Amphibolurinae
Sauria,Diporiphora ameliae,Agamidae,Amphibolurinae
Sauria,Diporiphora amphiboluroides,Agamidae,Amphibolurinae
Sauria,Diporiphora arnhemica,Agamidae,Amphibolurinae
Sauria,Diporiphora australis,Agamidae,Amphibolurinae
Sauria,Diporiphora bennettii,Agamidae,Amphibolurinae
Sauria,Diporiphora bilineata,Agamidae,Amphibolurinae
Sauria,Diporiphora convergens,Agamidae,Amphibolurinae
Sauria,Diporiphora lalliae,Agamidae,Amphibolurinae
Sauria,Diporiphora linga,Agamidae,Amphibolurinae
Sauria,Diporiphora magna,Agamidae,Amphibolurinae
Sauria,Diporiphora margaretae,Agamidae,Amphibolurinae
Sauria,Diporiphora nobbi,Agamidae,Amphibolurinae
Sauria,Diporiphora paraconvergens,Agamidae,Amphibolurinae
Sauria,Diporiphora phaeospinosa,Agamidae,Amphibolurinae
Sauria,Diporiphora pindan,Agamidae,Amphibolurinae
Sauria,Diporiphora reginae,Agamidae,Amphibolurinae
Sauria,Diporiphora superba,Agamidae,Amphibolurinae
Sauria,Diporiphora valens,Agamidae,Amphibolurinae
Sauria,Diporiphora vescus,Agamidae,Amphibolurinae
Sauria,Diporiphora winneckei,Agamidae,Amphibolurinae
Sauria,Hypsilurus auritus,Agamidae,Amphibolurinae
Sauria,Hypsilurus binotatus,Agamidae,Amphibolurinae
Sauria,Hypsilurus boydii,Agamidae,Amphibolurinae
Sauria,Hypsilurus bruijnii,Agamidae,Amphibolurinae
Sauria,Hypsilurus capreolatus,Agamidae,Amphibolurinae
Sauria,Hypsilurus dilophus,Agamidae,Amphibolurinae
Sauria,Hypsilurus geelvinkianus,Agamidae,Amphibolurinae
Sauria,Hypsilurus godeffroyi,Agamidae,Amphibolurinae
Sauria,Hypsilurus hikidanus,Agamidae,Amphibolurinae
Sauria,Hypsilurus longi,Agamidae,Amphibolurinae
Sauria,Hypsilurus macrolepis,Agamidae,Amphibolurinae
Sauria,Hypsilurus magnus,Agamidae,Amphibolurinae
Sauria,Hypsilurus modestus,Agamidae,Amphibolurinae
Sauria,Hypsilurus nigrigularis,Agamidae,Amphibolurinae
Sauria,Hypsilurus ornatus,Agamidae,Amphibolurinae
Sauria,Hypsilurus papuensis,Agamidae,Amphibolurinae
Sauria,Hypsilurus schoedei,Agamidae,Amphibolurinae
Sauria,Hypsilurus schultzewestrumi,Agamidae,Amphibolurinae
Sauria,Hypsilurus spinipes,Agamidae,Amphibolurinae
Sauria,Hypsilurus tenuicephalus,Agamidae,Amphibolurinae
Sauria,Intellagama lesueurii,Agamidae,Amphibolurinae
Sauria,Lophognathus burnsi,Agamidae,Amphibolurinae
Sauria,Lophognathus gilberti,Agamidae,Amphibolurinae
Sauria,Lophognathus longirostris,Agamidae,Amphibolurinae
Sauria,Lophognathus maculilabris,Agamidae,Amphibolurinae
Sauria,Lophognathus temporalis,Agamidae,Amphibolurinae
Sauria,Moloch horridus,Agamidae,Amphibolurinae
Sauria,Physignathus cocincinus,Agamidae,Amphibolurinae
Sauria,Pogona barbata,Agamidae,Amphibolurinae
Sauria,Pogona henrylawsoni,Agamidae,Amphibolurinae
Sauria,Pogona microlepidota,Agamidae,Amphibolurinae
Sauria,Pogona minima,Agamidae,Amphibolurinae
Sauria,Pogona minor,Agamidae,Amphibolurinae
Sauria,Pogona mitchelli,Agamidae,Amphibolurinae
Sauria,Pogona nullarbor,Agamidae,Amphibolurinae
Sauria,Pogona vitticeps,Agamidae,Amphibolurinae
Sauria,Rankinia diemensis,Agamidae,Amphibolurinae
Sauria,Tympanocryptis centralis,Agamidae,Amphibolurinae
Sauria,Tympanocryptis cephalus,Agamidae,Amphibolurinae
Sauria,Tympanocryptis intima,Agamidae,Amphibolurinae
Sauria,Tympanocryptis lineata,Agamidae,Amphibolurinae
Sauria,Tympanocryptis parviceps,Agamidae,Amphibolurinae
Sauria,Tympanocryptis pinguicolla,Agamidae,Amphibolurinae
Sauria,Tympanocryptis tetraporophora,Agamidae,Amphibolurinae
Sauria,Tympanocryptis uniformis,Agamidae,Amphibolurinae
Sauria,Acanthosaura armata,Agamidae,Draconinae
Sauria,Acanthosaura bintangensis,Agamidae,Draconinae
